Entity,Code,Day,Flexitarian,None of these,Plant-based / Vegan,Meat eater,Pescetarian,Vegetarian
18-24y,,2019-07-18,11,4,7.000000000000001,67,1,10
18-24y,,2020-01-06,17,5,5,62,2,9
18-24y,,2020-07-14,13,8,7.000000000000001,60,3,9
18-24y,,2021-01-03,13,4,2,65,5,11
18-24y,,2021-07-12,11,11,9,54,5,10
18-24y,,2022-01-04,20,9,5,52,4,10
18-24y,,2022-07-11,14.000000000000002,11,4,62,1,8
18-24y,,2023-01-02,11,5,3,69,3,9
25-49y,,2019-07-18,12,3,3,73,3,6
25-49y,,2020-01-06,16,4,2,69,2,7.000000000000001
25-49y,,2020-07-14,12,4,2,72,3,7.000000000000001
25-49y,,2021-01-03,13,2,2,74,3,6
25-49y,,2021-07-12,15,4,4,66,3,8
25-49y,,2022-01-04,16,5,2,69,3,5
25-49y,,2022-07-11,18,4,4,66,3,5
25-49y,,2023-01-02,14.000000000000002,4,5,67,3,7.000000000000001
50-64y,,2019-07-18,12,3,2,76,3,4
50-64y,,2020-01-06,14.000000000000002,1,1,78,3,3
50-64y,,2020-07-14,14.000000000000002,3,2,74,2,5
50-64y,,2021-01-03,14.000000000000002,2,2,76,2,4
50-64y,,2021-07-12,16,3,2,72,2,5
50-64y,,2022-01-04,14.000000000000002,3,3,73,2,5
50-64y,,2022-07-11,16,2,1,72,4,5
50-64y,,2023-01-02,13,2,2,78,2,3
65y+,,2019-07-18,16,4,0,75,3,2
65y+,,2020-01-06,15,4,1,76,2,2
65y+,,2020-07-14,15,3,0,77,3,2
65y+,,2021-01-03,15,3,1,76,3,2
65y+,,2021-07-12,13,3,0,75,4,5
65y+,,2022-01-04,13,2,0,79,3,3
65y+,,2022-07-11,13,1,1,79,3,3
65y+,,2023-01-02,18,3,1,72,3,3
All adults,,2019-07-18,13,3,2,74,3,5
All adults,,2020-01-06,15,4,2,72,2,5
All adults,,2020-07-14,13,4,2,72,3,6
All adults,,2021-01-03,14.000000000000002,3,2,73,3,5
All adults,,2021-07-12,14.000000000000002,4,3,69,3,7.000000000000001
All adults,,2022-01-04,16,4,2,70,3,5
All adults,,2022-07-11,16,4,2,70,3,5
All adults,,2023-01-02,14.000000000000002,3,3,72,3,5
